"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"25"	"FGA; FGB"	"Involved in the same disease;Directly interacting;Same pathway"	"(FGA, FGB)"	"MAPK family signaling cascades;Integrin cell surface interactions;signaling and aggregation;Common Pathway of Fibrin Clot Formation;Signaling by RAS mutants;Coronavirus disease - COVID-19;Hemostasis;MAP2K and MAPK activation;GRB2:SOS provides linkage to MAPK signaling for Integrins;Signaling by high-kinase activity BRAF mutants;Signaling by RAF1 mutants;Extracellular matrix organization;Signaling downstream of RAS mutants;Regulation of TLR by endogenous ligand;Neutrophil extracellular trap formation;Complement and coagulation cascades;RAF/MAP kinase cascade;Platelet Aggregation (Plug Formation);Platelet activation;Signaling by BRAF and RAF fusions;p130Cas linkage to MAPK signaling for integrins;Formation of Fibrin Clot (Clotting Cascade);Platelet activation;MAPK1/MAPK3 signaling;Oncogenic MAPK signaling;Signaling by moderate kinase activity BRAF mutants;Platelet degranulation;Immune System;Paradoxical activation of RAF signaling by kinase inactive BRAF;Integrin signaling;Innate Immune System;Disease;Diseases of signal transduction by growth factor receptors and second messengers;Signal Transduction"	"2"	"OLI030"
"26"	"DUOX2; TG; TPO"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"N.A."	"Metabolism of amine-derived hormones;Thyroxine biosynthesis;Thyroid hormone synthesis;Metabolism of amino acids and derivatives"	"2"	"OLI031; OLI468; OLI474"
"27"	"DUOX1; DUOX2"	"Involved in the same disease;Relevant pathways for phenotype;Monogenic experiments only;Same pathway;Similar function"	"N.A."	"Metabolism of amine-derived hormones;Thyroxine biosynthesis;Metabolism of amino acids and derivatives"	"2"	"OLI032; OLI040"
"28"	"COL4A4; COL4A5"	"Relevant pathways for phenotype;Involved in the same disease;Similar function"	"N.A."	"Non-integrin membrane-ECM interactions;Integrin cell surface interactions;Collagen formation;Anchoring fibril formation;Axon guidance;Extracellular matrix organization;Degradation of the extracellular matrix;Crosslinking of collagen fibrils;Signal Transduction;Relaxin signaling pathway;Amoebiasis;Laminin interactions;Protein digestion and absorption;ECM-receptor interaction;Pathways in cancer;Collagen chain trimerization;NCAM signaling for neurite out-growth;Small cell lung cancer;Focal adhesion;Collagen biosynthesis and modifying enzymes;Assembly of collagen fibrils and other multimeric structures;Signaling by Receptor Tyrosine Kinases;PI3K-Akt signaling pathway;Human papillomavirus infection;Nervous system development;Developmental Biology;Collagen degradation;AGE-RAGE signaling pathway in diabetic complications;Signaling by PDGF;ECM proteoglycans;NCAM1 interactions"	"2"	"OLI033; OLI383; OLI384; OLI385; OLI386; OLI387; OLI388; OLI1373; OLI1374"
"29"	"COL4A3; COL4A4"	"Relevant pathways for phenotype;Involved in the same disease;Similar function"	"N.A."	"Non-integrin membrane-ECM interactions;Integrin cell surface interactions;Collagen formation;Anchoring fibril formation;Axon guidance;Extracellular matrix organization;Degradation of the extracellular matrix;Crosslinking of collagen fibrils;Signal Transduction;Relaxin signaling pathway;Amoebiasis;Laminin interactions;Protein digestion and absorption;ECM-receptor interaction;Pathways in cancer;Collagen chain trimerization;NCAM signaling for neurite out-growth;Small cell lung cancer;Focal adhesion;Collagen biosynthesis and modifying enzymes;Assembly of collagen fibrils and other multimeric structures;Signaling by Receptor Tyrosine Kinases;PI3K-Akt signaling pathway;Human papillomavirus infection;Nervous system development;Developmental Biology;Collagen degradation;AGE-RAGE signaling pathway in diabetic complications;Signaling by PDGF;ECM proteoglycans;NCAM1 interactions"	"2"	"OLI034; OLI154; OLI155; OLI157; OLI319; OLI376; OLI377; OLI378; OLI379; OLI380; OLI381; OLI382; OLI971; OLI972; OLI973; OLI974; OLI975; OLI1247; OLI1375"
"30"	"EDNRB; RET"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Calcium signaling pathway;Signal Transduction"	"2"	"OLI035"
"31"	"FGFR1; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI036; OLI196; OLI204; OLI833; OLI1269; OLI1272; OLI1338; OLI1356"
"32"	"BBS1; CCDC28B"	"Affecting the same tissue;Colocalization;Directly interacting;Relevant pathways for phenotype"	"(BBS1, CCDC28B)"	"N.A."	"3"	"OLI037; OLI038; OLI039"
"33"	"BBS2; CCDC28B"	"Affecting the same tissue;Colocalization;Directly interacting"	"(BBS2, CCDC28B)"	"N.A."	"2"	"OLI041"
"34"	"CNGA3; CNGB3"	"Indirectly interacting;Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway"	"(CNGA3, CNGB3)"	"cAMP signaling pathway"	"3"	"OLI042; OLI043; OLI044; OLI045; OLI046; OLI047; OLI048; OLI049; OLI050"
"35"	"NOT_HGNC 4q35; SMCHD1"	"Involved in the same disease;Indirectly interacting;Directly interacting"	"N.A."	"N.A."	"2"	"OLI051"
"36"	"PRF1; STX11"	"Involved in the same disease;Affecting the same tissue;Similar function;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI052"
"37"	"STXBP2; UNC13D"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"N.A."	"2"	"OLI053; OLI540; OLI541; OLI542; OLI543"
"38"	"SH2D1A; UNC13D"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI054"
"39"	"PRF1; UNC13D"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"N.A."	"2"	"OLI055; OLI058; OLI522; OLI523; OLI524; OLI525; OLI526; OLI527; OLI528; OLI529; OLI530; OLI531; OLI532; OLI533; OLI534"
"40"	"UNC13D; XIAP"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI056"
"41"	"PRF1; STXBP2"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"N.A."	"2"	"OLI057; OLI535; OLI536; OLI537; OLI538; OLI539"
"42"	"CCDC28B; TTC8"	"Affecting the same tissue;Colocalization;Directly interacting"	"(CCDC28B, TTC8)"	"N.A."	"2"	"OLI059"
"43"	"BBS1; BBS7"	"Colocalizaton;Same pathway;Involved in the same disease"	"(BBS1, BBS7)"	"BBSome-mediated cargo-targeting to cilium;Cilium Assembly;Organelle biogenesis and maintenance;Cargo trafficking to the periciliary membrane"	"2"	"OLI061; OLI1441"
"44"	"BBS1; BBS4"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Same pathway;Monogenic experiments only"	"(BBS1, BBS4)"	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI062; OLI1116; OLI1117"
"45"	"BBS1; MKKS"	"Colocalizaton;Same pathway;Involved in the same disease"	"N.A."	"BBSome-mediated cargo-targeting to cilium;Cilium Assembly;Organelle biogenesis and maintenance;Cargo trafficking to the periciliary membrane"	"2"	"OLI063; OLI066; OLI1436; OLI1437; OLI1435"
"46"	"BBS1; BBS2"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"(BBS1, BBS2)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI064; OLI065; OLI139; OLI417; OLI1122"
"47"	"BBS2; MKKS"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Monogenic experiments only;Same pathway"	"(BBS2, MKKS)"	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI067; OLI170; OLI171; OLI225; OLI226; OLI224"
"48"	"LAMA4; MYH7"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI068"
"49"	"SLC45A2; TYR"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Melanin biosynthesis"	"2"	"OLI069; OLI070; OLI072"
"50"	"OCA2; SLC45A2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Metabolism of amino acids and derivatives;Melanin biosynthesis;Metabolism"	"2"	"OLI071"
"51"	"OCA2; TYR"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Melanin biosynthesis"	"2"	"OLI073; OLI217; OLI220; OLI1095; OLI1096; OLI1097; OLI1098; OLI1099"
"52"	"S100A13; S100A3"	"Affecting the same tissue;Colocalization;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI074"
"53"	"FGFR1; SEMA3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI075; OLI288; OLI1285; OLI1348"
"54"	"TCF3; TNFRSF13B"	"Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI076"
"55"	"EMD; LMNA"	"Involved in the same disease;Colocalization;Indirectly interacting;Directly interacting"	"(EMD, LMNA)"	"Hypertrophic cardiomyopathy;Dilated cardiomyopathy"	"2"	"OLI077; OLI189"
"56"	"BBS10; BBS12"	"Involved in the same disease;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"3"	"OLI078; OLI142; OLI1128"
"57"	"BBS1; BBS10; BBS12"	"Involved in the same disease;Similar function;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI079; OLI1127"
"58"	"BBS1; BBS12"	"Involved in the same disease;Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI147; OLI080; OLI323; OLI1120; OLI1129"
"59"	"BBS12; BBS2; BBS4"	"Involved in the same disease;Similar function;Directly interacting;Relevant pathways for phenotype"	"(BBS12, BBS4);(BBS2, BBS4)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI081; OLI082; OLI1121; OLI1132"
"60"	"BBS10; BBS5"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;BBSome-mediated cargo-targeting to cilium"	"3"	"OLI083; OLI621; OLI1125"
"61"	"BBS10; MKKS"	"Involved in the same disease;Similar function;Same pathway;Relevant pathways for phenotype"	"N.A."	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"3"	"OLI085; OLI143; OLI175; OLI177; OLI084"
"62"	"BBS12; BBS4"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(BBS12, BBS4)"	"Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance"	"2"	"OLI086; OLI1130"
"63"	"BBS12; BBS9; MKKS"	"Involved in the same disease;Similar function;Same pathway;Relevant pathways for phenotype"	"(BBS12, MKKS)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI087; OLI1131"
"64"	"BBS1; BBS10"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI088; OLI089; OLI619; OLI1118; OLI1119"
"65"	"GDF9; REC8"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI090"
"66"	"FOXL2; GALT"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI091"
"67"	"BMP15; SMC1B"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI092"
"68"	"NOBOX; SMC1B"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI093"
"69"	"FIGLA; GDF9"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI094"
"70"	"BMP15; NOBOX"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI095"
"71"	"KCNH2; KCNQ1"	"Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only;Similar function"	"N.A."	"Muscle contraction;Voltage gated Potassium channels;Phase 3 - rapid repolarisation;Neuronal System;Cardiac conduction"	"2"	"OLI096; OLI361; OLI362; OLI550"
"72"	"BBS4; BBS7"	"Directly interacting;Same protein complex;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"(BBS4, BBS7)"	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI097; OLI1124"
"73"	"BBS2; BBS7"	"Directly interacting;Same protein complex;Affecting the same tissue;Same pathway;Similar function"	"(BBS2, BBS7)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI098"
"74"	"FGA; FGG"	"Involved in the same disease;Directly interacting;Same pathway;Similar function"	"(FGA, FGG)"	"MAPK family signaling cascades;Integrin cell surface interactions;signaling and aggregation;Common Pathway of Fibrin Clot Formation;Signaling by RAS mutants;Coronavirus disease - COVID-19;Hemostasis;MAP2K and MAPK activation;GRB2:SOS provides linkage to MAPK signaling for Integrins;Signaling by high-kinase activity BRAF mutants;Signaling by RAF1 mutants;Extracellular matrix organization;Signaling downstream of RAS mutants;Regulation of TLR by endogenous ligand;Neutrophil extracellular trap formation;Complement and coagulation cascades;RAF/MAP kinase cascade;Platelet Aggregation (Plug Formation);Platelet activation;Metabolism of proteins;Signaling by BRAF and RAF fusions;p130Cas linkage to MAPK signaling for integrins;Formation of Fibrin Clot (Clotting Cascade);Platelet activation;MAPK1/MAPK3 signaling;Oncogenic MAPK signaling;Signaling by moderate kinase activity BRAF mutants;Platelet degranulation;Immune System;Response to elevated platelet cytosolic Ca2+;Paradoxical activation of RAF signaling by kinase inactive BRAF;Integrin signaling;Post-translational protein modification;Innate Immune System;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs);Disease;Diseases of signal transduction by growth factor receptors and second messengers;Signal Transduction"	"2"	"OLI099"
"75"	"CDH23; MYO7A"	"Indirectly interacting;Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Co-expression"	"(CDH23, MYO7A)"	"N.A."	"2"	"OLI100; OLI261; OLI262; OLI1033; OLI1036"
"76"	"ADGRV1; MYO7A; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI101"
"77"	"ADGRV1; MYO7A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI102; OLI1034; OLI1035"
"78"	"MYO7A; USH1G; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI103"
"79"	"CDH23; USH1C"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Co-expression"	"(CDH23, USH1C)"	"N.A."	"2"	"OLI104; OLI263"
"80"	"MYO7A; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI105; OLI106"
"81"	"CDH23; USH2A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI107"
"82"	"ADGRV1; WHRN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI108"
"83"	"BAAT; TJP2"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI109; OLI110"
"84"	"GDAP1; MFN2"	"Involved in the same disease;Same organelle;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI111; OLI210"
"85"	"NEUROD1; PDX1"	"Relevant pathways for phenotype;Directly interacting;Same pathway;Same protein complex"	"(NEUROD1, PDX1)"	"Developmental Biology;Regulation of beta-cell development;Maturity onset diabetes of the young;Regulation of gene expression in beta cells"	"2"	"OLI112; OLI113"
"86"	"POLG; TWNK"	"Involved in the same disease;Same organelle;Same pathway"	"N.A."	"N.A."	"2"	"OLI114; OLI131"
"87"	"PSMA3; PSMB8"	"Relevant pathways for phenotype;Directly interacting;Same pathway;Similar function"	"(PSMA3, PSMB8)"	"M Phase;Metabolism of amino acids and derivatives;Regulation of RAS by GAPs;Apoptosis;Axon guidance;Synthesis of DNA;Defective CFTR causes cystic fibrosis;ABC transporter disorders;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1;RUNX1 regulates transcription of genes involved in differentiation of HSCs;Fc epsilon receptor (FCERI) signaling;S Phase;Signaling by WNT;Hedgehog on state;Regulation of APC/C activators between G1/S and early anaphase;Signaling by the B Cell Receptor (BCR);Transport of small molecules;Mitotic G1 phase and G1/S transition;Regulation of expression of SLITs and ROBOs;Mitotic Anaphase;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A;Hh mutants abrogate ligand secretion;Transcriptional regulation by RUNX3;Cell Cycle;MAPK6/MAPK4 signaling;CLEC7A (Dectin-1) signaling;Regulation of RUNX2 expression and activity;p53-Independent G1/S DNA damage checkpoint;Cytokine Signaling in Immune system;Stabilization of p53;Class I MHC mediated antigen processing & presentation;Proteasome;FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;PCP/CE pathway;HIV Infection;Disease;p53-Dependent G1/S DNA damage checkpoint;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;GLI3 is processed to GLI3R by the proteasome;Activation of NF-kappaB in B cells;APC/C:Cdc20 mediated degradation of Securin;Intracellular signaling by second messengers;Gene expression (Transcription);Autodegradation of Cdh1 by Cdh1:APC/C;CDK-mediated phosphorylation and removal of Cdc6;DNA Replication Pre-Initiation;PIP3 activates AKT signaling;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins;Cyclin E associated events during G1/S transition;Metabolism of polyamines;Orc1 removal from chromatin;SCF(Skp2)-mediated degradation of p27/p21;Hh mutants are degraded by ERAD;SCF-beta-TrCP mediated degradation of Emi1;Cellular responses to stress;Transcriptional regulation by RUNX1;Metabolism of proteins;Dectin-1 mediated noncanonical NF-kB signaling;Regulation of activated PAK-2p34 by proteasome mediated degradation;Degradation of GLI1 by the proteasome;MAPK1/MAPK3 signaling;G2/M Transition;Antigen processing: Ubiquitination & Proteasome degradation;Degradation of DVL;Cell Cycle Checkpoints;Hedgehog off state;TCR signaling;Assembly of the pre-replicative complex;ER-Phagosome pathway;AUF1 (hnRNP D0) binds and destabilizes mRNA;Generic Transcription Pathway;TNFR2 non-canonical NF-kB pathway;Switching of origins to a post-replicative state;Programmed Cell Death;Host Interactions of HIV factors;Infectious disease;Regulation of PTEN stability and activity;UCH proteinases;The role of GTSE1 in G2/M progression after G2 checkpoint;Mitotic Metaphase and Anaphase;G2/M Checkpoints;Regulation of mRNA stability by proteins that bind AU-rich elements;G1/S DNA Damage Checkpoints;Developmental Biology;Hedgehog ligand biogenesis;p53-Independent DNA Damage Response;Asymmetric localization of PCP proteins;Downstream signaling events of B Cell Receptor (BCR);APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint;Nervous system development;Cdc20:Phospho-APC/C mediated degradation of Cyclin A;Cross-presentation of soluble exogenous antigens (endosomes);Cellular responses to external stimuli;Interleukin-1 family signaling;ABC-family proteins mediated transport;DNA Replication;Signaling by NOTCH4;Signaling by Interleukins;APC/C-mediated degradation of cell cycle proteins;p53-Dependent G1 DNA Damage Response;Degradation of GLI2 by the proteasome;Neddylation;Deubiquitination;TCF dependent signaling in response to WNT;Degradation of beta-catenin by the destruction complex;Disorders of transmembrane transporters;Ub-specific processing proteases;Regulation of Apoptosis;Adaptive Immune System;Signaling by Hedgehog;MAPK family signaling cascades;Mitotic;Antigen processing-Cross presentation;Ubiquitin-dependent degradation of Cyclin D;Signaling by NOTCH;Interleukin-1 signaling;Vpu mediated degradation of CD4;C-type lectin receptors (CLRs);RAF/MAP kinase cascade;RNA Polymerase II Transcription;PTEN Regulation;Metabolism of RNA;Immune System;Signaling by ROBO receptors;APC/C:Cdc20 mediated degradation of mitotic proteins;Degradation of AXIN;Mitotic G2-G2/M phases;Post-translational protein modification;Innate Immune System;Vif-mediated degradation of APOBEC3G;NIK-->noncanonical NF-kB signaling;Beta-catenin independent WNT signaling;FCERI mediated NF-kB activation;Regulation of RUNX3 expression and activity;Cyclin A:Cdk2-associated events at S phase entry;Regulation of ornithine decarboxylase (ODC);Diseases of signal transduction by growth factor receptors and second messengers;Autodegradation of the E3 ubiquitin ligase COP1;Regulation of mitotic cell cycle;Downstream TCR signaling;G1/S Transition;Negative regulation of NOTCH4 signaling;Transcriptional regulation by RUNX2;Metabolism;Cell Cycle;Cellular response to hypoxia;Signal Transduction"	"3"	"OLI115; OLI116"
